FERT21_0,http://www.spoj.pl/problems/FERT21_0,adhoc big integer easy
FINDPRM,http://www.spoj.pl/problems/FINDPRM,number theory sieve dp binary search adhoc
FNRANK,http://www.spoj.pl/problems/FNRANK,number theory inclusion exclusion
FP,http://www.spoj.pl/problems/FP,dp greedy
FPOLICE,http://www.spoj.pl/problems/FPOLICE,dp
FRACTION,http://www.spoj.pl/problems/FRACTION,farey sequences
FREQUENT,http://www.spoj.pl/problems/FREQUENT,segment trees
FRQPRIME,http://www.spoj.pl/problems/FRQPRIME,number theory binary search math
FSEATS,http://www.spoj.pl/problems/FSEATS,dp
FUNPROB,http://www.spoj.pl/problems/FUNPROB,math
GCDEX,http://www.spoj.pl/problems/GCDEX,number theory
GEM,http://www.spoj.pl/problems/GEM,simulation
GEOPROB,http://www.spoj.pl/problems/GEOPROB,geometry bigint easy
GEORGE,http://www.spoj.pl/problems/GEORGE,dijkstra nice
GNY07C,http://www.spoj.pl/problems/GNY07C,adhoc
GNY07D,http://www.spoj.pl/problems/GNY07D,adhoc
GNY07F,http://www.spoj.pl/problems/GNY07F,adhoc
GNY07H,http://www.spoj.pl/problems/GNY07H,"dp bitmask tricky harder version of BYTESH1, M3TILE"
GNYR09F,http://www.spoj.pl/problems/GNYR09F,dp easy
GOALFR,http://www.spoj.pl/problems/GOALFR,geometry easy
GORELIAN,http://www.spoj.pl/problems/GORELIAN,bfs hard on implementation
GS,http://www.spoj.pl/problems/GS,gaussian elimination
GSS1,http://www.spoj.pl/problems/GSS1,segment tree easy
GSS3,http://www.spoj.pl/problems/GSS3,segment tree easy
HAMSTER1,http://www.spoj.pl/problems/HAMSTER1,math trigonometry ternary search
HANGOVER,http://www.spoj.pl/problems/HANGOVER,simple math
HEAPULM,http://www.spoj.pl/problems/HEAPULM,sorting recursion easy segment trees
HELLOKIT,http://www.spoj.pl/problems/HELLOKIT,beginner easy
HELPBOB,http://www.spoj.pl/problems/HELPBOB,dp bitmask
HELPR2D2,http://www.spoj.pl/problems/HELPR2D2,segment tree data-structure
HERDING,http://www.spoj.pl/problems/HERDING,bfs
HIKE,http://www.spoj.pl/problems/HIKE,bfs
HIST2,http://www.spoj.pl/problems/HIST2,dp bitmask
HISTOGRA,http://www.spoj.pl/problems/HISTOGRA,adhoc
HS08FOUR,http://www.spoj.pl/problems/HS08FOUR,matrix expo hard
HS08PAUL,http://www.spoj.pl/problems/HS08PAUL,number theory easy
IMAGE,http://www.spoj.pl/problems/IMAGE,flood fill add up 4 - neighbours for each cell
IM,http://www.spoj.pl/problems/IM,maxflow
IMPORT,http://www.spoj.pl/problems/IMPORT,floyd warshall
INCARDS,http://www.spoj.pl/problems/INCARDS,bfs
INCPOWK,http://www.spoj.pl/problems/INCPOWK,number theory adhoc easy
INCSEQ,http://www.spoj.pl/problems/INCSEQ,dp + BIT
INTEGER1,http://www.spoj.pl/problems/INTEGER1,binary search
INTERVA2,http://www.spoj.pl/problems/INTERVA2,sorting datastructure bit
INUMBER,http://www.spoj.pl/problems/INUMBER,bfs
INVCNT,http://www.spoj.pl/problems/INVCNT,bit or merge sort
INVENT,http://www.spoj.pl/problems/INVENT,disjoint sets adhoc
JANE,http://www.spoj.pl/problems/JANE,bfs medium
JEDNAKOS,http://www.spoj.pl/problems/JEDNAKOS,dp
JOCHEF,http://www.spoj.pl/problems/JOCHEF,dp
JRIDE,http://www.spoj.pl/problems/JRIDE,adhoc
KGSS,http://www.spoj.pl/problems/KGSS,segment tree
KPMATRIX,http://www.spoj.pl/problems/KPMATRIX,dp BIT hard
KPPOLY,http://www.spoj.pl/problems/KPPOLY,geometry ternary search
KSEQ,http://www.spoj.pl/problems/KSEQ,math
LAGRANGE,http://www.spoj.pl/problems/LAGRANGE,adhoc
LCMSUM,http://www.spoj.pl/problems/LCMSUM,number theory
LEGO,http://www.spoj.pl/problems/LEGO,sparse graphs co-ordinate compression connected components
LIFEGAME,http://www.spoj.pl/problems/LIFEGAME,matrix exponentiation
LIM,http://www.spoj.pl/problems/LIM,gaussian elimination
LINES,http://www.spoj.pl/problems/LINES,math adhoc
LSORT,http://www.spoj.pl/problems/LSORT,dp bit
M00PAIR,http://www.spoj.pl/problems/M00PAIR,dp
M3TILE,http://www.spoj.pl/problems/M3TILE,dp bitmask harder version of BYTESH1
MARBLES,http://www.spoj.pl/problems/MARBLES,adhoc
MARTIAN,http://www.spoj.pl/problems/MARTIAN,dp hard
MATSUM,http://www.spoj.pl/problems/MATSUM,2D BIT
MAWORK,http://www.spoj.pl/problems/MAWORK,bfs good state
MAXSUMSQ,http://www.spoj.pl/problems/MAXSUMSQ,adhoc data-structure
MB1,http://www.spoj.pl/problems/MB1,adhoc number theory
MBEEWALK,http://www.spoj.pl/problems/MBEEWALK,"dp different dx, dy"
MBIPALIN,http://www.spoj.pl/problems/MBIPALIN,adhoc
MBLAST,http://www.spoj.pl/problems/MBLAST,dp easy
MCHAOS,http://www.spoj.pl/problems/MCHAOS,bit
MCIRGAME,http://www.spoj.pl/problems/MCIRGAME,big int dp catalan numbers google it
MCOINS,http://www.spoj.pl/problems/MCOINS,very easy DP
MCONVERT,http://www.spoj.pl/problems/MCONVERT,big integer
MDIGITS,http://www.spoj.pl/problems/MDIGITS,adhoc
MELE3,http://www.spoj.pl/problems/MELE3,dijkstra
MENU,http://www.spoj.pl/problems/MENU,medium dp
MEOWIST,http://www.spoj.pl/problems/MEOWIST,beginner easy sorting
MFISH,http://www.spoj.pl/problems/MFISH,dp hard
MIB,http://www.spoj.pl/problems/MIB,rank of a permutation
MICEMAZE,http://www.spoj.pl/problems/MICEMAZE,dijkstra / bfs
MINVEST,http://www.spoj.pl/problems/MINVEST,dp knapsack medium
MIXTURES,http://www.spoj.pl/problems/MIXTURES,"medium dp, see matrix chain multiplication CLRS"
MKBUDGET,http://www.spoj.pl/problems/MKBUDGET,easy dp
MKJUMPS,http://www.spoj.pl/problems/MKJUMPS,backtracking
MKLABELS,http://www.spoj.pl/problems/MKLABELS,math
MKMONEY,http://www.spoj.pl/problems/MKMONEY,adhoc
MKPALS,http://www.spoj.pl/problems/MKPALS,adhoc
MKTHNUM,http://www.spoj.pl/problems/MKTHNUM,segment tree merge sort
MKUHAR,http://www.spoj.pl/problems/MKUHAR,simple math binary search hard
MKWAVES,http://www.spoj.pl/problems/MKWAVES,brute force
MLAND,http://www.spoj.pl/problems/MLAND,kruskals ternary search
MLASERP,http://www.spoj.pl/problems/MLASERP,BFS normal
MMASS,http://www.spoj.pl/problems/MMASS,adhoc string parsin
MMATRIX,http://www.spoj.pl/problems/MMATRIX,brute force
MMAXPER,http://www.spoj.pl/problems/MMAXPER,dp easy
MMINPAID,http://www.spoj.pl/problems/MMINPAID,dp / bfs bitmask
MNERED,http://www.spoj.pl/problems/MNERED,dp
MOBIVINA,http://www.spoj.pl/problems/MOBIVINA,"maxflow, mincut"
MONODIG,http://www.spoj.pl/problems/MONODIG,bfs hard
MONONUM,http://www.spoj.pl/problems/MONONUM,dp
MORSE,http://www.spoj.pl/problems/MORSE,dp medium
MOVIE,http://www.spoj.pl/problems/MOVIE,math
MPILOT,http://www.spoj.pl/problems/MPILOT,dp easy
MPOLY,http://www.spoj.pl/problems/MPOLY,geometry ternary search
MREPLBRC,http://www.spoj.pl/problems/MREPLBRC,dp v.hard
MSAFE,http://www.spoj.pl/problems/MSAFE,adhoc data-structure
MSE06H,http://www.spoj.pl/problems/MSE06H,BIT easy
MSE08G,http://www.spoj.pl/problems/MSE08G,adhoc precomputation
MSE08H,http://www.spoj.pl/problems/MSE08H,math
